id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite,preload_suite,partition_method,partition_num
20250114190304,0,1,0,0,0,datasets/linear,,btreeolc,13060484,200000000,0.99,7420950696,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10,0,direct,1
20250114190315,1,0,0,0,0,datasets/linear,,btreeolc,18754515,200000000,0.99,7420950696,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10,0,direct,1
20250114190345,0,1,0,0,0,datasets/linear,,btreeolc,104958529,0,0.99,7402432200,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114190356,1,0,0,0,0,datasets/linear,,btreeolc,19215101,0,0.99,7402432200,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114190432,0,1,0,0,0,datasets/linear,,btreeolc,17703441,0,0.99,5038095912,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114190442,1,0,0,0,0,datasets/linear,,btreeolc,19055179,0,0.99,5038095912,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114190513,0,1,0,0,0,datasets/linear,,btreeolc,107724857,1000000,0.99,7375998592,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114190523,1,0,0,0,0,datasets/linear,,btreeolc,19232608,1000000,0.99,7375998592,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114190559,0,1,0,0,0,datasets/linear,,btreeolc,17724865,1000000,0.99,5047586544,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114190610,1,0,0,0,0,datasets/linear,,btreeolc,19200121,1000000,0.99,5047586544,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114190640,0,1,0,0,0,datasets/linear,,btreeolc,106705814,2000000,0.99,7351710864,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114190650,1,0,0,0,0,datasets/linear,,btreeolc,19224561,2000000,0.99,7351710864,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
