id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite,preload_suite,partition_method,partition_num
20250108121342,0,1,0,0,0,datasets/linear,,btreeolc,13019381,200000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,-nan,1,0,0,0,0,64,200000000,10,0,direct,1
20250108121406,1,0,0,0,0,datasets/linear,,btreeolc,16704926,200000000,0.99,0,16,106,891,1150,1479,1766,17056,76669,919.223,1866,100,91514.5,1,0,0,0,0,64,200000000,10,0,direct,1
20250108121446,0,1,0,0,0,datasets/linear,,btreeolc,89174667,0,0.99,0,16,44,101,206,2005,4076,9015,187921,160.285,1866,100,118820,1,0,0,0,0,64,200000000,21,0,direct,1
20250108121508,1,0,0,0,0,datasets/linear,,btreeolc,17119721,0,0.99,0,16,117,868,1119,1453,1762,17014,604649,896.725,1866,100,98678,1,0,0,0,0,64,200000000,21,0,direct,1
20250108121557,0,1,0,0,0,datasets/linear,,btreeolc,16563888,0,0.99,0,16,75,905,1207,1868,5156,17075,570479,947.2,1866,100,170746,1,0,0,0,0,64,200000000,22,0,direct,1
20250108121618,1,0,0,0,0,datasets/linear,,btreeolc,17160843,0,0.99,0,16,120,868,1103,1440,1734,16990,246907,893.355,1866,100,86261.5,1,0,0,0,0,64,200000000,22,0,direct,1
20250108121659,0,1,0,0,0,datasets/linear,,btreeolc,90380209,1000000,0.99,0,16,61,105,190,1969,3874,8462,74762,158.082,1866,100,104341,1,0,0,0,0,64,200000000,21,0,direct,1
20250108121720,1,0,0,0,0,datasets/linear,,btreeolc,17123156,1000000,0.99,0,16,116,867,1119,1454,1767,17080,6.4353e+06,896.326,1866,100,301348,1,0,0,0,0,64,200000000,21,0,direct,1
20250108121809,0,1,0,0,0,datasets/linear,,btreeolc,16561325,1000000,0.99,0,16,128,904,1207,1865,5137,17017,564543,947.262,1866,100,167386,1,0,0,0,0,64,200000000,22,0,direct,1
20250108121830,1,0,0,0,0,datasets/linear,,btreeolc,17207371,1000000,0.99,0,16,112,866,1100,1437,1725,16837,1.29349e+07,890.837,1866,100,916614,1,0,0,0,0,64,200000000,22,0,direct,1
20250108121912,0,1,0,0,0,datasets/linear,,btreeolc,78038261,2000000,0.99,0,16,63,111,255,1977,3882,9047,75354,171.547,1866,100,107317,1,0,0,0,0,64,200000000,21,0,direct,1
20250108121933,1,0,0,0,0,datasets/linear,,btreeolc,17121613,2000000,0.99,0,16,111,868,1120,1454,1763,16997,338033,896.482,1866,100,89851.8,1,0,0,0,0,64,200000000,21,0,direct,1
20250108122022,0,1,0,0,0,datasets/linear,,btreeolc,16529169,2000000,0.99,0,16,133,904,1207,1863,5114,17024,241192,949.053,1866,100,164326,1,0,0,0,0,64,200000000,22,0,direct,1
20250108122043,1,0,0,0,0,datasets/linear,,btreeolc,17234798,2000000,0.99,0,16,121,864,1098,1435,1735,16944,244305,889.368,1866,100,84986.3,1,0,0,0,0,64,200000000,22,0,direct,1
20250108122125,0,1,0,0,0,datasets/linear,,btreeolc,70813866,5000000,0.99,0,16,65,116,285,1989,3890,9296,83892,184.785,1866,100,112334,1,0,0,0,0,64,200000000,21,0,direct,1
20250108122147,1,0,0,0,0,datasets/linear,,btreeolc,17090574,5000000,0.99,0,16,110,869,1122,1457,1774,17056,223783,898.144,1866,100,92395.2,1,0,0,0,0,64,200000000,21,0,direct,1
20250108122236,0,1,0,0,0,datasets/linear,,btreeolc,16404714,5000000,0.99,0,16,144,909,1211,1859,5233,17300,376601,956.359,1866,100,180431,1,0,0,0,0,64,200000000,22,0,direct,1
20250108122257,1,0,0,0,0,datasets/linear,,btreeolc,17032583,5000000,0.99,0,16,123,874,1114,1452,1754,17107,232759,900.04,1866,100,95103.8,1,0,0,0,0,64,200000000,22,0,direct,1
20250108122338,0,1,0,0,0,datasets/linear,,btreeolc,83933982,10000000,0.99,0,16,66,113,250,1968,3822,8749,228459,169.894,1866,100,102978,1,0,0,0,0,64,200000000,21,0,direct,1
20250108122400,1,0,0,0,0,datasets/linear,,btreeolc,17093707,10000000,0.99,0,16,125,870,1123,1458,1755,12598,80420,898.059,1866,100,73574.3,1,0,0,0,0,64,200000000,21,0,direct,1
20250108122448,0,1,0,0,0,datasets/linear,,btreeolc,16303274,10000000,0.99,0,16,143,911,1213,1854,5243,17372,186597,962.379,1866,100,182197,1,0,0,0,0,64,200000000,22,0,direct,1
20250108122510,1,0,0,0,0,datasets/linear,,btreeolc,17020567,10000000,0.99,0,16,116,875,1115,1452,1751,17087,620158,900.783,1866,100,95572.5,1,0,0,0,0,64,200000000,22,0,direct,1
20250108122552,0,1,0,0,0,datasets/linear,,btreeolc,79079697,20000000,0.99,0,16,67,114,276,1941,3752,8630,78688,174.606,1866,100,99121.1,1,0,0,0,0,64,200000000,21,0,direct,1
