id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite
20241126164351,0,1,0,0,0,datasets/linear,,btreeolc,12994769,200000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126164620,1,0,0,0,0,datasets/linear,,btreeolc,1344403,200000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126164707,0,1,0,0,0,datasets/linear,,btreeolc,13034602,200000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126164821,1,0,0,0,0,datasets/linear,,btreeolc,2704243,200000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126164904,0,1,0,0,0,datasets/linear,,btreeolc,13036323,200000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126164942,1,0,0,0,0,datasets/linear,,btreeolc,5256421,200000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126165023,0,1,0,0,0,datasets/linear,,btreeolc,13062157,200000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126165043,1,0,0,0,0,datasets/linear,,btreeolc,10192935,200000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126165124,0,1,0,0,0,datasets/linear,,btreeolc,13022476,200000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126165134,1,0,0,0,0,datasets/linear,,btreeolc,18712421,200000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126165251,0,1,0,0,0,datasets/linear,,btreeolc,12783829,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126165520,1,0,0,0,0,datasets/linear,,btreeolc,1347425,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126165612,0,1,0,0,0,datasets/linear,,btreeolc,22757576,0,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126165725,1,0,0,0,0,datasets/linear,,btreeolc,2724494,0,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126165805,0,1,0,0,0,datasets/linear,,btreeolc,40468073,0,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126165842,1,0,0,0,0,datasets/linear,,btreeolc,5372909,0,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126165915,0,1,0,0,0,datasets/linear,,btreeolc,73161027,0,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126165934,1,0,0,0,0,datasets/linear,,btreeolc,10496541,0,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126170004,0,1,0,0,0,datasets/linear,,btreeolc,110939641,0,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126170015,1,0,0,0,0,datasets/linear,,btreeolc,19240063,0,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126170314,0,1,0,0,0,datasets/linear,,btreeolc,1420568,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126170542,1,0,0,0,0,datasets/linear,,btreeolc,1347857,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126170725,0,1,0,0,0,datasets/linear,,btreeolc,2777181,0,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126170838,1,0,0,0,0,datasets/linear,,btreeolc,2742586,0,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126170943,0,1,0,0,0,datasets/linear,,btreeolc,5316623,0,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126171020,1,0,0,0,0,datasets/linear,,btreeolc,5411321,0,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126171105,0,1,0,0,0,datasets/linear,,btreeolc,10349437,0,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126171124,1,0,0,0,0,datasets/linear,,btreeolc,10441877,0,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126171200,0,1,0,0,0,datasets/linear,,btreeolc,17842953,0,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126171210,1,0,0,0,0,datasets/linear,,btreeolc,19189361,0,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126171324,0,1,0,0,0,datasets/linear,,btreeolc,12190711,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126171549,1,0,0,0,0,datasets/linear,,btreeolc,1385683,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126171642,0,1,0,0,0,datasets/linear,,btreeolc,23825770,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126171753,1,0,0,0,0,datasets/linear,,btreeolc,2793199,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126171837,0,1,0,0,0,datasets/linear,,btreeolc,44872630,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126171913,1,0,0,0,0,datasets/linear,,btreeolc,5519660,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126171952,0,1,0,0,0,datasets/linear,,btreeolc,83692402,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126172011,1,0,0,0,0,datasets/linear,,btreeolc,10700471,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126172048,0,1,0,0,0,datasets/linear,,btreeolc,129454998,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126172058,1,0,0,0,0,datasets/linear,,btreeolc,19470573,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126172307,0,1,0,0,0,datasets/linear,,btreeolc,1331998,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126172531,1,0,0,0,0,datasets/linear,,btreeolc,1387426,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126172653,0,1,0,0,0,datasets/linear,,btreeolc,2633004,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126172804,1,0,0,0,0,datasets/linear,,btreeolc,2798193,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126172902,0,1,0,0,0,datasets/linear,,btreeolc,5085577,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126172938,1,0,0,0,0,datasets/linear,,btreeolc,5535404,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126173023,0,1,0,0,0,datasets/linear,,btreeolc,9811457,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126173042,1,0,0,0,0,datasets/linear,,btreeolc,10694873,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126173122,0,1,0,0,0,datasets/linear,,btreeolc,17066592,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126173132,1,0,0,0,0,datasets/linear,,btreeolc,19404542,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126173226,0,1,0,0,0,datasets/linear,,btreeolc,12497757,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126173455,1,0,0,0,0,datasets/linear,,btreeolc,1347350,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
