id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite,preload_suite,partition_method,partition_num
20250107170136,0,1,0,0,0,datasets/linear,,alex,15087027,200000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,-nan,1,0,0,0,0,64,200000000,10,0,direct,1
20250107170219,1,0,0,0,0,datasets/linear,,alex,5864796,200000000,0.99,0,1,14,22,25,27,41,227,32066,22.0684,1866,100,2534.12,1,0,0,0,0,64,200000000,10,0,direct,1
20250107170410,0,1,0,0,0,datasets/linear,,alex,3651956,0,0.99,0,1,21,27,707,2284,4593,6742,6.05132e+07,258.185,1866,100,5.80318e+08,1,0,0,0,0,64,200000000,21,0,direct,1
20250107170451,1,0,0,0,0,datasets/linear,,alex,5867964,0,0.99,0,1,9,12,13,569,997,1375,190154,21.4783,1866,100,14380.8,1,0,0,0,0,64,200000000,21,0,direct,1
20250107170625,0,1,0,0,0,datasets/linear,,alex,3392657,0,0.99,0,1,23,158,242,492,611,2221,2.64651e+07,247.45,1866,100,1.33959e+09,1,0,0,0,0,64,200000000,22,0,direct,1
20250107170703,1,0,0,0,0,datasets/linear,,alex,6223105,0,0.99,0,1,9,12,13,15,151,492,23925,12.6318,1866,100,2421.14,1,0,0,0,0,64,200000000,22,0,direct,1
20250107170841,0,1,0,0,0,datasets/linear,,alex,4880680,1000000,0.99,0,1,23,65,103,3815,14907,23087,1.80785e+07,188.535,1866,100,7.33804e+06,1,0,0,0,0,64,200000000,21,0,direct,1
20250107171010,1,0,0,0,0,datasets/linear,,alex,2464899,1000000,0.99,0,1,9,12,426,748,1054,3102,70043,117.55,1866,100,45007.8,1,0,0,0,0,64,200000000,21,0,direct,1
20250107171140,0,1,0,0,0,datasets/linear,,alex,3594918,1000000,0.99,0,1,23,157,241,488,605,864,2.60758e+07,230.665,1866,100,1.0214e+09,1,0,0,0,0,64,200000000,22,0,direct,1
20250107171217,1,0,0,0,0,datasets/linear,,alex,6453602,1000000,0.99,0,1,10,12,13,15,151,451,21781,12.7687,1866,100,2178.81,1,0,0,0,0,64,200000000,22,0,direct,1
20250107171400,0,1,0,0,0,datasets/linear,,alex,4323907,2000000,0.99,0,1,26,76,114,4741,15771,23441,9.17844e+06,214.894,1866,100,7.39954e+06,1,0,0,0,0,64,200000000,21,0,direct,1
20250107171536,1,0,0,0,0,datasets/linear,,alex,2279818,2000000,0.99,0,1,13,18,497,801,1110,3232,102129,166.808,1866,100,56742.4,1,0,0,0,0,64,200000000,21,0,direct,1
20250107171711,0,1,0,0,0,datasets/linear,,alex,3305542,2000000,0.99,0,1,30,166,249,497,621,2331,2.95922e+07,254.756,1866,100,1.38727e+09,1,0,0,0,0,64,200000000,22,0,direct,1
20250107171751,1,0,0,0,0,datasets/linear,,alex,5968286,2000000,0.99,0,1,14,18,19,24,42,445,25195,18.4787,1866,100,3138.24,1,0,0,0,0,64,200000000,22,0,direct,1
20250107171934,0,1,0,0,0,datasets/linear,,alex,4263775,5000000,0.99,0,1,23,74,112,5297,13787,25409,2.22123e+07,218.182,1866,100,3.98092e+07,1,0,0,0,0,64,200000000,21,0,direct,1
20250107172114,1,0,0,0,0,datasets/linear,,alex,2184491,5000000,0.99,0,1,9,13,546,833,1140,3470,60675,225.871,1866,100,65426.2,1,0,0,0,0,64,200000000,21,0,direct,1
20250107172249,0,1,0,0,0,datasets/linear,,alex,3283027,5000000,0.99,0,1,24,160,252,501,633,1939,2.77005e+07,255.756,1866,100,1.46448e+09,1,0,0,0,0,64,200000000,22,0,direct,1
20250107172328,1,0,0,0,0,datasets/linear,,alex,6228064,5000000,0.99,0,1,9,12,13,14,29,372,43237,12.3524,1866,100,2618.98,1,0,0,0,0,64,200000000,22,0,direct,1
20250107172512,0,1,0,0,0,datasets/linear,,alex,4017436,10000000,0.99,0,1,23,78,117,5297,15522,34423,2.22546e+07,232.613,1866,100,7.9463e+07,1,0,0,0,0,64,200000000,21,0,direct,1
20250107172654,1,0,0,0,0,datasets/linear,,alex,2137947,10000000,0.99,0,1,9,320,561,846,1159,3563,46432,254.502,1866,100,67432,1,0,0,0,0,64,200000000,21,0,direct,1
20250107172824,0,1,0,0,0,datasets/linear,,alex,3528728,10000000,0.99,0,1,24,159,245,494,629,2733,3.10781e+07,234.417,1866,100,1.04926e+09,1,0,0,0,0,64,200000000,22,0,direct,1
20250107172901,1,0,0,0,0,datasets/linear,,alex,6423144,10000000,0.99,0,1,9,12,13,15,41,533,46748,12.4308,1866,100,2414.15,1,0,0,0,0,64,200000000,22,0,direct,1
