id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,test_suite
20250113172553,0,1,0,0,0,datasets/linear,,alex,7383337,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113172609,1,0,0,0,0,datasets/linear,,alex,12715905,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113172703,0,1,0,0,0,datasets/linear,,alex,4898107,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113172720,1,0,0,0,0,datasets/linear,,alex,12018158,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113172815,0,1,0,0,0,datasets/linear,,alex,7886976,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113172831,1,0,0,0,0,datasets/linear,,alex,12700689,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113172925,0,1,0,0,0,datasets/linear,,alex,5223471,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113172941,1,0,0,0,0,datasets/linear,,alex,12720945,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113173042,0,1,0,0,0,datasets/linear,,alex,9780653,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113173059,1,0,0,0,0,datasets/linear,,alex,11965356,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113173200,0,1,0,0,0,datasets/linear,,alex,5311136,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113173215,1,0,0,0,0,datasets/linear,,alex,12734228,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113173315,0,1,0,0,0,datasets/linear,,alex,13903206,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113173331,1,0,0,0,0,datasets/linear,,alex,13017251,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113173431,0,1,0,0,0,datasets/linear,,alex,5409044,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113173446,1,0,0,0,0,datasets/linear,,alex,12916797,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
