id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite,preload_suite
20241208112641,0,0,0,0,1,datasets/linear,,alex,0,200000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10,24
20241208112641,0,1,0,0,0,datasets/linear,,alex,15128980,200000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10,24
20241208112657,1,0,0,0,0,datasets/linear,,alex,12689242,200000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10,24
20241208112750,0,0,0,0,1,datasets/linear,,alex,0,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208112831,0,1,0,0,0,datasets/linear,,alex,4933530,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208112846,1,0,0,0,0,datasets/linear,,alex,12889051,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208112911,0,0,0,0,1,datasets/linear,,alex,0,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208113006,0,1,0,0,0,datasets/linear,,alex,3608756,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208113020,1,0,0,0,0,datasets/linear,,alex,14478859,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208113109,0,0,0,0,1,datasets/linear,,alex,27354898,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208113145,0,1,0,0,0,datasets/linear,,alex,5403719,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208113236,1,0,0,0,0,datasets/linear,,alex,3971796,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208113301,0,0,0,0,1,datasets/linear,,alex,25757867,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208113356,0,1,0,0,0,datasets/linear,,alex,3656863,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208113409,1,0,0,0,0,datasets/linear,,alex,14542881,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208113459,0,0,0,0,1,datasets/linear,,alex,27305643,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208113539,0,1,0,0,0,datasets/linear,,alex,4919861,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208113630,1,0,0,0,0,datasets/linear,,alex,3914357,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208113656,0,0,0,0,1,datasets/linear,,alex,27139649,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208113752,0,1,0,0,0,datasets/linear,,alex,3538407,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208113806,1,0,0,0,0,datasets/linear,,alex,14079183,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208113857,0,0,0,0,1,datasets/linear,,alex,27403116,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208113939,0,1,0,0,0,datasets/linear,,alex,4675539,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208114032,1,0,0,0,0,datasets/linear,,alex,3808105,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208114100,0,0,0,0,1,datasets/linear,,alex,27313697,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208114155,0,1,0,0,0,datasets/linear,,alex,3528820,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208114209,1,0,0,0,0,datasets/linear,,alex,14364489,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208114303,0,0,0,0,1,datasets/linear,,alex,27245400,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208114347,0,1,0,0,0,datasets/linear,,alex,4386749,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208114440,1,0,0,0,0,datasets/linear,,alex,3744405,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208114513,0,0,0,0,1,datasets/linear,,alex,27143743,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208114605,0,1,0,0,0,datasets/linear,,alex,3596693,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208114619,1,0,0,0,0,datasets/linear,,alex,14523167,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208114719,0,0,0,0,1,datasets/linear,,alex,27064151,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208114803,0,1,0,0,0,datasets/linear,,alex,4116724,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208114859,1,0,0,0,0,datasets/linear,,alex,3607292,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208114939,0,0,0,0,1,datasets/linear,,alex,27110517,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208115031,0,1,0,0,0,datasets/linear,,alex,3407885,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208115045,1,0,0,0,0,datasets/linear,,alex,14313364,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208115206,0,0,0,0,1,datasets/linear,,alex,22840273,50000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208115248,0,1,0,0,0,datasets/linear,,alex,3531788,50000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208115349,1,0,0,0,0,datasets/linear,,alex,3268557,50000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208115454,0,0,0,0,1,datasets/linear,,alex,22881777,50000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208115537,0,1,0,0,0,datasets/linear,,alex,3466639,50000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208115554,1,0,0,0,0,datasets/linear,,alex,12307263,50000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208115727,0,0,0,0,1,datasets/linear,,alex,21547051,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208115802,0,1,0,0,0,datasets/linear,,alex,2804705,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208115855,1,0,0,0,0,datasets/linear,,alex,3771015,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,24
20241208120018,0,0,0,0,1,datasets/linear,,alex,21613155,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208120042,0,1,0,0,0,datasets/linear,,alex,4082581,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208120058,1,0,0,0,0,datasets/linear,,alex,12903539,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,24
20241208120128,0,0,0,0,1,datasets/linear,,alex,118789,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208120208,0,1,0,0,0,datasets/linear,,alex,4979418,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208120222,1,0,0,0,0,datasets/linear,,alex,14396125,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208120256,0,0,0,0,1,datasets/linear,,alex,118878,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
20241208120354,0,1,0,0,0,datasets/linear,,alex,3464613,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
20241208120408,1,0,0,0,0,datasets/linear,,alex,13900412,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
20241208120437,0,0,0,0,1,datasets/linear,,alex,59377,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208120517,0,1,0,0,0,datasets/linear,,alex,4959791,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208120531,1,0,0,0,0,datasets/linear,,alex,14438216,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208120608,0,0,0,0,1,datasets/linear,,alex,59388,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
20241208120708,0,1,0,0,0,datasets/linear,,alex,3313748,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
20241208120724,1,0,0,0,0,datasets/linear,,alex,12698242,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
20241208120812,0,0,0,0,1,datasets/linear,,alex,23444,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208120851,0,1,0,0,0,datasets/linear,,alex,4932259,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208120905,1,0,0,0,0,datasets/linear,,alex,14407832,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208121001,0,0,0,0,1,datasets/linear,,alex,23440,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
20241208121059,0,1,0,0,0,datasets/linear,,alex,3369013,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
20241208121116,1,0,0,0,0,datasets/linear,,alex,12052733,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
20241208121307,0,0,0,0,1,datasets/linear,,alex,11407,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208121345,0,1,0,0,0,datasets/linear,,alex,5025049,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208121359,1,0,0,0,0,datasets/linear,,alex,14521001,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208121559,0,0,0,0,1,datasets/linear,,alex,11405,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
20241208121655,0,1,0,0,0,datasets/linear,,alex,3380499,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
20241208121710,1,0,0,0,0,datasets/linear,,alex,13857764,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
20241208122106,0,0,0,0,1,datasets/linear,,alex,8820,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208122141,0,1,0,0,0,datasets/linear,,alex,5083607,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208122155,1,0,0,0,0,datasets/linear,,alex,14012270,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,24
20241208122600,0,0,0,0,1,datasets/linear,,alex,8818,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,24
